scenario,source_distance_from_first_m,source_distance_from_second_m,reception_radius_m,reception_retained,crossing_angle_deg,observation,diameter_m,mec_radius_m,mec_center_x_m,mec_center_y_m,diameter_circle_covers,true_source_inside_bearing_region
14841,670.2504401309614,593.3069304719968,1287.7921033633077,True,75.52850558750742,direction,35.95139356800523,17.975696784002615,675.7504592632572,0.23677029890529866,True,True
14842,1046.1843563531506,605.7854792399748,1460.5779323512265,True,68.64918603343895,direction,53.50920677612276,26.75460338806138,1056.4633914502303,-0.3383544940557073,True,True
14843,1098.3715715337119,640.1298399226265,1398.4109416099197,True,64.01140307957118,direction,56.66313851126412,28.33156925563206,1086.459067525683,-0.36740171845002934,True,True
14844,1075.971412245093,618.1676217558884,1193.8317733298186,True,66.05752359502581,direction,56.87338605296523,28.436693026482615,1088.393064959825,-0.36933968102035486,True,True
14845,892.7119734713514,566.0229570860332,1068.8469837066175,True,83.33366394400554,direction,40.24309391047264,20.12154695523632,901.8474288927098,-0.2187616301647317,True,True
14846,224.63803171287475,827.2011271177146,1384.0817316192908,True,44.455448966068545,direction,50.9420231799342,25.4710115899671,206.75008674897038,0.440113023632307,True,True
14847,1250.6754969107208,732.2463517251736,1311.0608987894748,True,53.07491573364768,direction,75.74063588342328,37.87031794171164,1237.8171517302155,-0.5428873218430113,True,True
14848,1229.609490085766,695.2193764747199,1236.4266444579175,True,54.399350170838126,direction,74.50512593571746,37.25256296785873,1229.1747030692154,-0.5315697819654002,True,True
14849,712.0523360250146,591.0221305239545,1466.2101303635234,True,80.17148010911177,direction,35.467276552046776,17.733638276023388,713.8304722845116,0.22026009111186795,True,True
14850,1102.2217658955453,645.2879777760493,1332.049016271793,True,63.65415333201179,direction,58.93420643363169,29.467103216815843,1106.9541011077959,-0.38833977284007126,True,True
14851,329.8510145838212,754.9358658883635,1226.8874178686074,True,49.828446908956884,direction,45.692777127733784,22.846388563866892,332.1865571182036,0.3857280057094954,True,True
14852,1251.223686160802,730.5547657643638,1472.9784364974112,True,53.03735410613169,direction,78.3014384683818,39.1507192341909,1255.3426294184746,-0.5663191526611993,True,True
14853,1213.9546239870056,685.4062989720784,1307.0162884939432,True,55.462032885296885,direction,72.09997010357996,36.04998505178998,1211.9764233284136,-0.5095151143933858,True,True
14854,931.2602646312243,584.2117734224206,1204.1571495438793,True,78.95018473754341,direction,41.99605086044411,20.998025430222054,925.8546613369451,-0.23401761169267576,True,True
14855,729.7646454696843,578.4311441118813,1445.348169019085,True,80.94549423809698,direction,35.278486410810395,17.639243205405197,732.9950090096638,0.2119509951191958,True,True
14856,839.5372894529444,564.4220405772758,1089.4886802937579,True,88.5854519252196,direction,35.78935854106897,17.894679270534485,833.3383661846806,-0.18193013932085833,True,True
14857,167.72756424137785,867.4896564863661,1354.7044050871941,True,41.08822532782634,direction,51.80189172672607,25.900945863363035,187.45016989087839,0.44848081587923616,True,True
14858,228.6982417673695,821.2337652076898,1074.8830302489628,True,43.322381722877644,direction,51.02225758366745,25.511128791833723,204.9373452125339,0.4408989671514405,True,True
14859,1128.8341239475762,659.0199854824739,1350.145088092454,True,61.55984559776991,direction,60.85913748907614,30.42956874453807,1123.6846266586022,-0.40608829633578125,True,True
14860,1006.0497148648296,614.3204552348451,1297.575781444341,True,71.631254918412,direction,49.2613828510945,24.63069142554725,1012.7131398341858,-0.29939154309925087,True,True
14861,1273.6963039734442,737.8786523242873,1303.2673855731373,True,51.63047070635435,direction,79.58130235754341,39.790651178771704,1263.9162539343138,-0.5780171778737699,True,True
14862,734.5186789937875,581.6056008609348,1102.2893067742948,True,81.77594559624518,direction,35.27546307630897,17.637731538154483,733.3362982775405,0.21180302361705117,True,True
14863,1189.0576810706718,688.3514101054426,1483.0160866642855,True,57.1616484818738,direction,68.77854680142984,34.38927340071492,1187.343971004151,-0.4790102404100942,True,True
14864,956.0696096897494,581.0966372408518,1152.4070240828896,True,76.90520979422209,direction,44.14213624509285,22.071068122546425,953.4350045214452,-0.2530484189395832,True,True
14865,869.3041047620537,571.41493536843,1314.5412739761425,True,85.25361935261752,direction,38.25441272351977,19.127206361759885,872.7336170413218,-0.2018961689343115,True,True
