scenario,source_distance_from_first_m,source_distance_from_second_m,reception_radius_m,reception_retained,crossing_angle_deg,observation,diameter_m,mec_radius_m,mec_center_x_m,mec_center_y_m,diameter_circle_covers,true_source_inside_bearing_region
16673,596.3535607953932,624.9533245671857,1063.7034621859268,True,70.09333525492151,direction,37.39803680320288,18.69901840160144,596.5768910902298,0.27109728460118276,True,True
16674,595.0697149137035,620.8373601019115,1244.5962649133362,True,69.35996727195499,direction,37.167995985900546,18.583997992950273,607.3488510591498,0.2664269264968766,True,True
16675,750.9158703444962,590.8339322142773,1424.8922459212806,True,84.37066824916792,direction,35.20359439230072,17.60179719615036,741.8893048791862,0.20809472876504742,True,True
16676,199.6289249705618,846.3920303448116,1024.3389335507497,True,43.832973254056775,direction,51.21374510339825,25.606872551699126,200.62113465104994,0.4427703303048247,True,True
16677,709.6488781668804,576.6309863230043,1194.2412084905384,True,78.4478239322196,direction,35.62405159692214,17.81202579846107,700.2022242114701,0.22616883928958487,True,True
16678,418.2030462005251,700.1049283974661,1232.427083592634,True,55.108746490803,direction,42.094883560595036,21.047441780297518,430.2802491816188,0.34319789317288496,True,True
16679,947.472047815189,602.4001997676121,1162.852895809043,True,76.80394872917086,direction,43.77965067193984,21.88982533596992,948.9044920413506,-0.24981192672323616,True,True
16680,1215.650773322957,711.6424315835166,1305.1566823076832,True,55.32962169248151,direction,72.46348513303488,36.23174256651744,1214.6086929333167,-0.5128503776928603,True,True
16681,885.0868735109898,578.0184044699115,1482.0745574689138,True,83.40669897273656,direction,38.556730029442726,19.278365014721363,877.3007305249881,-0.20442328360185158,True,True
16682,678.220915164463,600.7877890846152,1367.568058146229,True,77.30646143316991,direction,35.92734854938083,17.963674274690415,677.4087559851487,0.23605131744261598,True,True
16683,829.4421029316903,575.2917081232756,1305.028528828214,True,88.86314113109886,direction,35.70409297933332,17.85204648966666,831.9006491485925,-0.18126361112767686,True,True
16684,1106.7145631591654,636.5320134222137,1412.0952486537603,True,63.43937622175055,direction,59.89631464647106,29.94815732323553,1115.3860402802788,-0.39721104119552386,True,True
16685,881.1553961662382,565.651755501484,1187.8136596979657,True,84.45077251928457,direction,39.016612439317356,19.508306219658678,884.14769304464,-0.20829457886105374,True,True
16686,1034.1818744467278,630.1478068572402,1381.8605497988083,True,69.02209986914194,direction,50.31934474221162,25.15967237110581,1024.0137743845603,-0.3090685919722933,True,True
16687,1431.8645048344151,829.1147653805558,1477.6879410115146,True,42.958576279738296,direction,115.55427305027077,57.77713652513538,1469.0033446856828,-0.9037457393883219,True,True
16688,455.07589851563057,678.381290667101,1482.4891522294165,True,57.39432352634177,direction,41.09759682694757,20.548798413473786,460.48398537263233,0.3301025730539209,True,True
16689,956.1796472000766,581.0901597348616,1188.7658806000766,True,76.89585455103271,direction,44.11198725684774,22.05599362842387,953.0600716641877,-0.2527789290481479,True,True
16690,652.3227895321985,592.1303040230387,1049.4677834421768,True,73.15554141331253,direction,36.44435687902681,18.222178439513407,645.027147274797,0.25009088954550407,True,True
16691,766.6985025083613,588.8381798057603,1181.552233867007,True,85.84361026813082,direction,35.06336714103375,17.531683570516876,762.1665533958883,0.19930319851272316,True,True
16692,1203.9661421292358,684.3907515852694,1330.0757056977295,True,56.15109354471801,direction,70.32213399645357,35.16106699822679,1198.9253836244427,-0.4931937453314408,True,True
16693,1150.5643668708112,675.3727309482655,1467.3371970215967,True,59.87788018657156,direction,64.19258364373562,32.09629182186781,1151.4186939649462,-0.43680887753226116,True,True
