angle_deg,mean_diameter_m,conservative_mean_m
4.275000000000000000e+01,6.450941888933141399e+01,6.731834571717394056e+01
4.291250000000000142e+01,6.458684671939248290e+01,6.740363749646562042e+01
4.307500000000000284e+01,6.466500836060950519e+01,6.748973887678107531e+01
4.323749999999999716e+01,6.474391086186221855e+01,6.757667084613491681e+01
4.340000000000000568e+01,6.482354255293279266e+01,6.766441974660529013e+01
4.356250000000000000e+01,6.490390047422813780e+01,6.775300793913572761e+01
4.372500000000000142e+01,6.498498828027653929e+01,6.784238053449784900e+01
4.388750000000000284e+01,6.506679199729809682e+01,6.793255700224696625e+01
4.404999999999999716e+01,6.514931449689599674e+01,6.802354014782194724e+01
4.421250000000000568e+01,6.523255645385498269e+01,6.811532657856155026e+01
4.437500000000000000e+01,6.531650232807450607e+01,6.820791279457223766e+01
4.453750000000000142e+01,6.540115870510203422e+01,6.830128495367675612e+01
4.470000000000000284e+01,6.548652465846083714e+01,6.839543354356308669e+01
4.486249999999999716e+01,6.557258398256199428e+01,6.849037851770826535e+01
4.502500000000000568e+01,6.565934554489379593e+01,6.858611272205784815e+01
4.518750000000000000e+01,6.574680730984412946e+01,6.868262577186689555e+01
4.535000000000000142e+01,6.583495323936091381e+01,6.877992512314907003e+01
4.551250000000000284e+01,6.592379234378049091e+01,6.887796690675752131e+01
4.567499999999999716e+01,6.601332264237703384e+01,6.897678530759633020e+01
4.583750000000000568e+01,6.610352910374328417e+01,6.907638104266692380e+01
4.600000000000000000e+01,6.619441982055101903e+01,6.917674979249069622e+01
4.616250000000000142e+01,6.628599330409326740e+01,6.927787580669172485e+01
4.632500000000000284e+01,6.637823622555914937e+01,6.937977019139250956e+01
4.648749999999999716e+01,6.647115355362431899e+01,6.948240289442212259e+01
4.665000000000000568e+01,6.656474551563816533e+01,6.958578370234967281e+01
4.681250000000000000e+01,6.665900129896805026e+01,6.968992524633182484e+01
4.697500000000000142e+01,6.675392184252125105e+01,6.979482471959499890e+01
4.713750000000000284e+01,6.684950916097311335e+01,6.990046268399539997e+01
4.729999999999999716e+01,6.694575615270485969e+01,7.000685309039795357e+01
4.746250000000000568e+01,6.704265725011876498e+01,7.011398432894539212e+01
4.762500000000000000e+01,6.714021777313126904e+01,7.022185164232394072e+01
4.778750000000000142e+01,6.723843457152199221e+01,7.033044533160351364e+01
4.795000000000000284e+01,6.733729494823646178e+01,7.043978192145907258e+01
4.811249999999999716e+01,6.743680782238720894e+01,7.054984385072759778e+01
4.827500000000000568e+01,6.753697098505494978e+01,7.066064191599573974e+01
4.843750000000000000e+01,6.763777401353380014e+01,7.077216750667903966e+01
4.860000000000000142e+01,6.773921909070952552e+01,7.088443505647569509e+01
4.876250000000000284e+01,6.784130786905143395e+01,7.099743389307916175e+01
4.892499999999999716e+01,6.794403576201580108e+01,7.111113453411977048e+01
4.908750000000000568e+01,6.804739421928206866e+01,7.122553981705769388e+01
4.925000000000000000e+01,6.815139017134481492e+01,7.134066708097032006e+01
4.941250000000000142e+01,6.825601835049155852e+01,7.145592813418994638e+01
4.957500000000000284e+01,6.836126918898270333e+01,7.157131792814332982e+01
4.973749999999999716e+01,6.846714749690961810e+01,7.168736933073228101e+01
4.990000000000000568e+01,6.857365523731024837e+01,7.180455892150287411e+01
5.006250000000000000e+01,6.868079010403788232e+01,7.192324858468536775e+01
5.022500000000000142e+01,6.878854002439534554e+01,7.204264718076802865e+01
5.038750000000000284e+01,6.889691369073977967e+01,7.216272549277667281e+01
5.054999999999999716e+01,6.900590916126772356e+01,7.228351397219648788e+01
5.071250000000000568e+01,6.911552181484293556e+01,7.240501020331875281e+01
5.087500000000000000e+01,6.922574551621055150e+01,7.252721247978357155e+01
5.103750000000000142e+01,6.933658594283717491e+01,7.265010436842042907e+01
5.120000000000000284e+01,6.944804159861909909e+01,7.277369534231769421e+01
5.136249999999999716e+01,6.956010592795442449e+01,7.289798082916735211e+01
5.152500000000000568e+01,6.967277647019133724e+01,7.302297227125545476e+01
5.168750000000000000e+01,6.978605726111219099e+01,7.314866159507089094e+01
5.185000000000000142e+01,6.989993800097498422e+01,7.327339518975117016e+01
5.201250000000000284e+01,7.001441881747236096e+01,7.339845716069547166e+01
5.217500000000000426e+01,7.012950039020456927e+01,7.352586126352164797e+01
5.233749999999999858e+01,7.024518577296525734e+01,7.365425393289922340e+01
5.250000000000000000e+01,7.036147344120203684e+01,7.378334326325943948e+01
5.266250000000000142e+01,7.047835734294019971e+01,7.391312184383271244e+01
5.282500000000000284e+01,7.059583595116363597e+01,7.404358835864198340e+01
5.298750000000000426e+01,7.071391272002924211e+01,7.417472313445057353e+01
5.314999999999999858e+01,7.083258629618140390e+01,7.430654256177068362e+01
5.331250000000000000e+01,7.095185220515452329e+01,7.443904065868599673e+01
5.347500000000000142e+01,7.107170148435007206e+01,7.457134723906472118e+01
5.363750000000000284e+01,7.119213485631254912e+01,7.470264670049785138e+01
5.380000000000000426e+01,7.131315959628730639e+01,7.483653436866825359e+01
5.396249999999999858e+01,7.143477370423941863e+01,7.497171558007146075e+01
5.412500000000000000e+01,7.155696845895354841e+01,7.510757477858820153e+01
5.428750000000000142e+01,7.167975073524333141e+01,7.524410585082908653e+01
5.445000000000000284e+01,7.180311941179220980e+01,7.538131804415246506e+01
