variant,seed,mode,length_scale_m,source_count,completed,time_per_source_s,virtual_time_s,distance_m,measures,switches,clear_failures,fallback_attempts,stations_visited,runtime_s,mean_first_discovery_s,last_first_discovery_s,containment_violations,nearby_effective_bearings
eighth,1012012,mixed,900.0,11,True,611.7138815858939,6728.852697444833,25289.263487224172,271,258,1,0,21,0.2983808000026329,1323.632679090909,5874.600816,0,0
eighth,1012013,mixed,100.0,12,True,452.4937176040828,5429.924611248994,19984.62305624497,231,218,0,0,21,0.3130531999995583,724.182348,1712.931862,0,0
eighth,1012013,mixed,300.0,12,True,453.3742428758822,5440.490914510587,19942.454572552942,234,222,0,0,21,0.31194219999815687,728.372554,1721.312274,0,0
eighth,1012013,mixed,900.0,12,True,453.4632137358963,5441.558564830756,19947.792824153792,234,222,0,0,21,0.31889890000093146,728.7814165,1722.129999,0,0
eighth,1012100,edge_outward,100.0,16,True,472.8079232297366,7564.926771675786,26974.63385837892,350,325,5,2,21,0.21360330000243266,4090.195261125,6161.234623,0,0
eighth,1012100,edge_outward,300.0,16,True,472.02965656251337,7552.474505000214,26957.372525001054,349,324,4,2,21,0.21075090000158525,4083.9815551875,6146.496155,0,0
eighth,1012100,edge_outward,900.0,16,True,472.72077920158097,7563.5324672252955,26932.662336126497,351,324,6,2,21,0.20266739999715355,4086.71674475,6157.701392,0,0
eighth,1012101,edge_outward,100.0,16,True,505.46263625860854,8087.402180137737,29752.010900688685,345,317,5,1,21,0.20989600000029895,4330.8091290625,6903.290691,0,0
eighth,1012101,edge_outward,300.0,16,True,522.5286898261108,8360.459037217774,31092.295186088897,346,317,5,1,21,0.21165499999915482,4189.3337970625,6154.337788,0,0
eighth,1012101,edge_outward,900.0,16,True,526.5881261955636,8425.410019129018,31302.050095645085,350,320,5,1,21,0.20754160000069533,4267.193581937499,6455.680882,0,0
eighth,1012102,edge_outward,100.0,16,True,490.5226709348726,7848.362734957962,27686.813674789824,362,337,28,17,21,0.22389019999900484,4280.580630125,6054.146523,0,0
eighth,1012102,edge_outward,300.0,16,True,462.0486475569885,7392.778360911816,25943.891804559087,350,332,14,0,21,0.19501250000030268,4509.593495625,6617.609418,0,0
